r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success
1.628726287,4.08401084,0.341463415,3.930894309,2.050135501,0.18699187,4.18699187,0.006775068,0.436314363,0.657181572,1.840108401,0.138211382,3.594850949,0.578590786,1476,3548,2.403794038,unsucc
1.220735786,5.056856187,0.491638796,5.341137124,2.742474916,0.178929766,4.705685619,0.023411371,0.630434783,1.112040134,2.608695652,0.252508361,3.903010033,1.015050167,598,1890,3.160535117,succ
1.647985989,5.248686515,0.408056042,4.954465849,2.329246935,0.206654991,5.218914186,0.033274956,0.472854641,0.807355517,2.401050788,0.204903678,4.679509632,0.894921191,1142,4134,3.619964974,unsucc
1.952380952,6.670194004,0.811287478,6.470899471,3.559082892,0.211640212,5.273368607,0.02292769,0.601410935,1.153439153,3.409171076,0.216931217,4.46031746,1.398589065,567,2177,3.839506173,succ
1.264802632,4.361842105,0.40625,5.044407895,2.587171053,0.286184211,3.527960526,0.004934211,0.606907895,0.835526316,2.478618421,0.148026316,2.639802632,0.754934211,1216,2646,2.175986842,unsucc
1.777083333,5.4625,0.7,5.26875,1.991666667,0.25625,5.479166667,0.05,0.364583333,0.88125,2.091666667,0.210416667,4.904166667,0.8375,960,2568,2.675,unsucc
1.598499062,4.532833021,0.418386492,4.150093809,2.120075047,0.157598499,4.200750469,0.024390244,0.410881801,0.662288931,2.198874296,0.131332083,3.609756098,0.750469043,1066,2884,2.705440901,unsucc
0.958775029,3.025912839,0.432273263,3.419316843,1.412249706,0.120141343,3.38869258,0.015312132,0.262661955,0.424028269,1.640753828,0.098939929,2.885747939,0.551236749,849,1697,1.998822144,succ
1.505494505,5.796703297,0.853479853,6.423076923,2.684981685,0.256410256,4.97985348,0.021978022,0.441391941,0.996336996,2.912087912,0.148351648,4.078754579,1.144688645,546,1828,3.347985348,succ
1.65329053,5.454253612,0.595505618,5.695024077,3.099518459,0.138041734,4.836276083,0.020866774,0.487961477,0.783306581,2.582664526,0.258426966,4.06741573,1.040128411,623,2108,3.383627608,succ
2.030959752,4.1625387,0.143962848,3.092879257,2.59752322,0.120743034,3.907120743,0.030959752,0.275541796,0.458204334,2.286377709,0.164086687,3.39628483,0.659442724,1292,3404,2.634674923,unsucc
0.522916667,3.233333333,0.56875,4.745833333,1.841666667,0.291666667,3.754166667,0.008333333,0.35,0.595833333,1.514583333,0.075,3.179166667,0.83125,480,1202,2.504166667,succ
1.324850299,5.073353293,0.241017964,3.965568862,2.486526946,0.152694611,4.282934132,0.02245509,0.380239521,0.648203593,2.333832335,0.200598802,3.71257485,1.023952096,1336,3842,2.875748503,unsucc
1.775815217,5.512228261,0.683423913,5.573369565,2.858695652,0.221467391,5.207880435,0.042119565,0.47826087,0.701086957,2.891304348,0.182065217,4.349184783,1.016304348,736,2556,3.472826087,succ
