小说名,标准化类符/形符比,类别
人型暴龙在异界,0.221218,succ
人欲,0.205393,succ
人族训练场,0.207881,succ
日冕之光：救世主,0.121573,unsucc
荣耀魔徒,0.23793,succ
荣耀之王者传说,0.125762,unsucc
如三生若三世,0.095688,unsucc
入侵武侠世界,0.212221,succ
入侵型月,0.248979,succ
三界独尊,0.23341,succ
三界永恒,0.122699,unsucc
三十二号避难所,0.244682,succ
三无少女眼中的末世,0.079883,unsucc
三眼艳情咒,0.231809,succ
三叶噬星,0.132089,unsucc
丧尸乱世,0.120249,unsucc
杀神,0.211618,succ
杀屠,0.108786,unsucc
闪电风暴,0.253055,succ
闪电召唤者,0.177331,succ
闪烁拳芒,0.177913,succ
上帝备忘录,0.095283,unsucc
少林武僧在异界,0.224887,succ
少女契约之书,0.266117,succ
深海提督,0.199903,succ
神兵秘籍开发商,0.357198,succ
神策,0.255451,succ
神道丹尊,0.20539,succ
神的许愿球,0.152543,unsucc
神典,0.24203,succ
神法大陆,0.13371,unsucc
神该怎样,0.124688,unsucc
神光史诗,0.121104,unsucc
神鬼竞技场,0.288871,succ
神化,0.206631,succ
神话三国,0.24788,succ
神幻空间,0.228927,succ
神荒,0.259455,succ
神荒龙帝,0.212393,succ
神煌,0.274994,succ
神火王,0.116451,succ
神级反派,0.240657,succ
神级挂机,0.116251,unsucc
神级灵魂,0.218175,succ
神级融合系统,0.205622,succ
神级商城系统,0.251454,succ
神级上门女婿,0.258609,succ
神级天才,0.211629,succ
神剑永恒,0.227786,succ
神禁空间,0.120387,unsucc
神经天下,0.246337,succ
神卡,0.24638,succ
神龙德鲁伊,0.230025,succ
神脉无敌,0.23993,succ
神门,0.197089,succ
神明之镜,0.112132,unsucc
神魔,0.131246,succ
神魔供应商,0.242997,succ
神魔乱世缘,0.231293,succ
神魔手,0.21966,succ
神魔天陆,0.127855,unsucc
神魔无双,0.209864,succ
神魔系统,0.179192,succ
神魔养殖场,0.228819,succ
神牧师,0.171179,succ
神墓,0.166406,succ
神奇铁匠铺,0.293359,succ
神起国度,0.209277,succ
神圣巨龙魔法师,0.219007,succ
神书,0.238418,succ
神天龙帝,0.103217,unsucc
神纹霸主,0.099123,unsucc
神纹战记,0.208413,succ
神武霸灵,0.105682,unsucc
神武飞扬,0.186246,succ
神武觉醒,0.200681,succ
神武图,0.236523,succ
神武为尊,0.109847,unsucc
神武战皇,0.124116,unsucc
神武至尊,0.108113,unsucc
神仙凡间游历记,0.100838,unsucc
神域之帝,0.114499,unsucc
神欲,0.161073,succ
升级专家,0.270388,succ
生化之我是丧尸,0.263275,succ
生化终结者,0.230288,succ
生死印,0.211901,succ
圣帝唯我,0.110776,unsucc
圣鼎纪,0.120374,unsucc
圣痕：神罗天征,0.130089,unsucc
圣洁之狐,0.154776,unsucc
圣灵伏魔传,0.119661,unsucc
圣人不语,0.112473,unsucc
圣武万界,0.126455,unsucc
圣衣时代,0.212487,succ
圣咏：预言日,0.121373,unsucc
尸乱唐,0.218875,succ
师士传说,0.243325,succ
狮子兽的征途,0.202095,succ
十步射一人,0.248651,succ
十方天士,0.198965,succ
时空波纹,0.20291,succ
时空道观,0.196574,succ
时空干涉手册,0.234773,succ
时空行走者,0.262916,succ
时空酒馆,0.272064,succ
时空临界,0.13041,unsucc
时空旅行者和他的女儿,0.242874,succ
时空旅人传奇,0.285226,succ
时空棋局,0.231158,succ
时空天书,0.255115,succ
时空之都市横行,0.121413,unsucc
时空走私从2000年开始,0.190655,succ
时空走私专家,0.17236,succ
史前入侵,0.20714,succ
史上第一妖,0.235353,succ
史上第一祖师爷,0.225771,succ
史上最牛暴君,0.251115,succ
史上最牛召唤,0.206453,succ
史上最强当铺,0.225469,succ
史上最强方丈,0.289402,succ
