@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.068368,0.054239,0.049567,0.038514,0.030538,0.028487,0.024385,0.024954,0.025524,0.020055,0.022448,0.018801,0.017434,0.014585,0.01356,0.01242,0.010369,0.014357,succ
0.042331,0.053946,0.05134,0.025833,0.025942,0.028004,0.026918,0.033105,0.017909,0.022034,0.028655,0.02084,0.019212,0.011614,0.016281,0.018778,0.007815,0.008575,succ
0.05512,0.050296,0.050416,0.034616,0.031239,0.025087,0.025208,0.021831,0.022796,0.023399,0.020625,0.015921,0.014715,0.016524,0.017609,0.012182,0.004825,0.014474,succ
0.059263,0.062296,0.061829,0.033131,0.025665,0.038147,0.019365,0.021349,0.023332,0.026248,0.021699,0.020065,0.020649,0.015632,0.014232,0.012832,0.005016,0.017382,succ
0.052774,0.046872,0.046535,0.033215,0.031192,0.026808,0.025628,0.03389,0.022087,0.019895,0.031023,0.017872,0.017872,0.020064,0.017198,0.010622,0.005058,0.009948,succ
0.05591,0.000118,0.000118,0.028251,0.023759,0.000118,0.021513,0.022459,0.019385,0.000118,0.02104,0.000118,0.000118,0.01253,0.012057,0.01253,0.000118,0.000118,succ
0.052113,0.052113,0.04554,0.029734,0.032394,0.022535,0.022379,0.023474,0.017214,0.020188,0.020814,0.015023,0.016901,0.015806,0.013772,0.015962,0.010798,0.012207,succ
0.05834,0.04001,0.041085,0.043803,0.029771,0.019089,0.023134,0.028443,0.02819,0.025093,0.023007,0.014854,0.015296,0.019721,0.020479,0.01163,0.007458,0.011883,succ
0.060685,0.046164,0.047675,0.030888,0.035756,0.026691,0.032567,0.024845,0.02283,0.015444,0.026859,0.019473,0.016955,0.019473,0.017123,0.012926,0.015276,0.009065,unsucc
0.059558,0.000119,0.000119,0.028055,0.029719,0.000119,0.023538,0.028768,0.021874,0.000119,0.021874,0.000119,0.000119,0.015454,0.015216,0.01272,0.000119,0.000119,succ
0.0657,0.057657,0.054259,0.035002,0.026846,0.029112,0.020729,0.02662,0.026167,0.022882,0.026053,0.014726,0.016878,0.012687,0.013027,0.014046,0.004984,0.014613,succ
0.054173,0.056449,0.049924,0.037936,0.021093,0.040061,0.016995,0.023065,0.02352,0.018816,0.016388,0.017451,0.019423,0.011988,0.011229,0.015781,0.009408,0.01047,succ
0.000167,0.000167,0.000167,0.000167,0.000167,0.032102,0.000167,0.000167,0.000167,0.021903,0.000167,0.018392,0.016218,0.018224,0.015549,0.000167,0.000167,0.013376,succ
0.049002,0.043946,0.043298,0.03889,0.032279,0.020612,0.02839,0.028649,0.026186,0.01763,0.024631,0.017241,0.016593,0.02113,0.021779,0.014389,0.007648,0.009593,succ
0.069944,0.063506,0.056336,0.028534,0.03468,0.034094,0.027071,0.020339,0.017559,0.020047,0.015511,0.020047,0.021217,0.013901,0.013462,0.014194,0.007024,0.014633,succ
0.059351,0.000191,0.000191,0.033969,0.032824,0.000191,0.027099,0.022137,0.022137,0.000191,0.02042,0.000191,0.000191,0.019084,0.019466,0.01374,0.000191,0.000191,succ
0.056174,0.057692,0.052463,0.036943,0.024966,0.032895,0.019737,0.025641,0.024123,0.026147,0.019231,0.013495,0.01805,0.01417,0.015013,0.018556,0.005061,0.01417,succ
0.06597,0.050655,0.049477,0.030923,0.032838,0.023413,0.027536,0.031071,0.021205,0.022088,0.029893,0.016787,0.019437,0.014725,0.017965,0.011633,0.004859,0.013106,succ
0.059924,0.049809,0.047901,0.032061,0.035496,0.024809,0.027099,0.000191,0.021756,0.01813,0.000191,0.017939,0.018702,0.016603,0.01355,0.015267,0.007061,0.009351,succ
0.057861,0.059224,0.054268,0.028869,0.034568,0.041383,0.027258,0.02255,0.024284,0.019948,0.020815,0.021806,0.023665,0.01747,0.016727,0.011275,0.004337,0.015116,succ
0.058508,0.042851,0.04189,0.026919,0.027469,0.021426,0.023486,0.030628,0.018953,0.01758,0.028705,0.01497,0.018129,0.012773,0.015245,0.007005,0.012498,0.007279,succ
0.061064,0.052025,0.053819,0.022425,0.029256,0.032222,0.030152,0.032291,0.017664,0.015525,0.025944,0.023943,0.019251,0.012075,0.012351,0.01656,0.004968,0.011868,unsucc
0.058414,0.054513,0.049346,0.035744,0.027309,0.035217,0.02404,0.024357,0.024568,0.024779,0.01919,0.019296,0.014235,0.013286,0.014656,0.010228,0.006326,0.016132,succ
